@relation spambase

@attribute atributo_1 numeric
@attribute atributo_2 numeric
@attribute atributo_3 numeric
@attribute atributo_4 numeric
@attribute atributo_5 numeric
@attribute atributo_6 numeric
@attribute atributo_7 numeric
@attribute atributo_8 numeric
@attribute atributo_9 numeric
@attribute atributo_10 numeric
@attribute atributo_11 numeric
@attribute atributo_12 numeric
@attribute atributo_13 numeric
@attribute atributo_14 numeric
@attribute atributo_15 numeric
@attribute atributo_16 numeric
@attribute atributo_17 numeric
@attribute atributo_18 numeric
@attribute atributo_19 numeric
@attribute atributo_20 numeric
@attribute atributo_21 numeric
@attribute atributo_22 numeric
@attribute atributo_23 numeric
@attribute atributo_24 numeric
@attribute atributo_25 numeric
@attribute atributo_26 numeric
@attribute atributo_27 numeric
@attribute atributo_28 numeric
@attribute atributo_29 numeric
@attribute atributo_30 numeric
@attribute atributo_31 numeric
@attribute atributo_32 numeric
@attribute atributo_33 numeric
@attribute atributo_34 numeric
@attribute atributo_35 numeric
@attribute atributo_36 numeric
@attribute atributo_37 numeric
@attribute atributo_38 numeric
@attribute atributo_39 numeric
@attribute atributo_40 numeric
@attribute atributo_41 numeric
@attribute atributo_42 numeric
@attribute atributo_43 numeric
@attribute atributo_44 numeric
@attribute atributo_45 numeric
@attribute atributo_46 numeric
@attribute atributo_47 numeric
@attribute atributo_48 numeric
@attribute atributo_49 numeric
@attribute atributo_50 numeric
@attribute atributo_51 numeric
@attribute atributo_52 numeric
@attribute atributo_53 numeric
@attribute atributo_54 numeric
@attribute atributo_55 numeric
@attribute atributo_56 numeric
@attribute atributo_57 numeric
@attribute class {0,1}

@data
0.12,0.0,0.12,0.0,0.0,0.06,0.0,0.0,0.56,0.0,0.0,0.31,0.0,0.0,0.0,0.06,0.0,0.06,0.25,0.0,0.18,0.0,0.0,0.0,0.63,0.69,0.06,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.63,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.187,0.16,0.035,0.0,0.017,0.0,2.829,47,815,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0.0,0.0,0.0,0.0,1.794,6,70,1
0.0,0.0,0.73,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.36,0.73,0.0,1.09,0.0,1.46,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604,0.181,0.0,3.787,58,356,1
0.07,0.22,0.82,0.0,0.52,0.0,0.07,0.0,0.67,0.6,0.22,0.82,0.07,0.0,0.15,0.0,0.07,0.0,3.3,0.22,1.87,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.131,0.071,0.167,3.446,74,972,1
0.0,0.52,0.52,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.52,1.04,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.175,0.0,0.0,1.093,3,35,0
0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.0,0.0,1.0,1,31,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,4.37,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.0,0.0,1.48,9,37,0
0.58,0.0,0.0,35.46,0.58,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,0.58,0.0,1.74,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.239,0.0,3.338,123,207,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6,1
0.0,0.0,0.56,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.18,0.0,0.37,0.37,3.18,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.0,0.441,0.0,0.0,1.372,4,70,0
